country_id,sclmeet_wg,rlgblg_wg,rlgdgr_wg,country_name
1.0,5.1328750970740735,1.6120016324147086,4.774055095273948,Belgium
3.0,4.911043617604897,1.5405537217492935,3.9566517705956494,Germany
4.0,4.392801234919282,1.0848715741162422,6.547452784847941,Greece
5.0,5.258015709845459,1.4560238798500595,4.339746472642831,Spain
6.0,5.345199092911023,1.5599301645972494,5.257954805236986,France
7.0,4.351585028822239,1.3654457478686173,5.163066393342841,Ireland
8.0,5.304120234804215,1.3127038995910267,6.18265327372583,Italy
10.0,5.509994352855547,1.7411608480797724,4.178799623553191,Netherlands
12.0,5.683416839877451,1.3032379621246013,6.022079382299786,Portugal
13.0,5.004976512661286,1.3689489046686951,4.9007506088731505,Austria
14.0,5.021273507341579,1.537990517101445,4.421973450752257,Finland
16.0,5.530043596612613,1.6934991949889113,3.0896946603080817,Sweden
20.0,5.136178003891319,1.2985035000211922,4.14036305120628,Bulgaria
22.0,4.246328851149729,1.8193892803208713,4.114964083982477,Estonia
23.0,3.5377646144168327,1.4222578211997088,4.800860088145176,Hungary
24.0,4.614611842707143,1.7270678804066328,4.518197111206127,Latvia
25.0,4.65251809978667,1.2851706594034162,5.511293738214044,Lithuania
26.0,4.3503873009339875,1.2768016352472629,6.873418801464391,Poland
28.0,4.850929151541911,1.3628962412192678,7.0473940155786465,Slovakia
29.0,4.944190671593456,1.4721866973641216,5.514907025838194,Slovenia
31.0,5.486004374476729,1.2607700944597535,6.111562368609294,Croatia
40.0,4.063565723569312,1.1076300448028278,6.843873465898351,Cyprus
