country_id,country_name,avg_age,population,log_population,gdp_pc,weighted_galtan,dhl_index,sclmeet_wg,rlgblg_wg,rlgdgr_wg,EI Legal,eastwest
13,Austria,45.2,9158750.0,16.03022026445631,45140,6.2564231301911,59.0,1.6562194306898896,0.45300507800552253,1.62172956513339,91,1.0
1,Belgium,43.1,11817096.0,16.285057854477465,44410,5.194688850572699,66.0,3.1570968811731492,0.9914999352007529,2.9363961068193225,87,1.0
20,Bulgaria,49.3,6445481.0,15.678889823067918,11330,6.654408537851391,55.0,1.26954460261456,0.32096008134435017,1.0234021407632872,49,0.0
40,Cyprus,41.8,966365.0,13.781296888619423,29950,5.1434001311960635,62.0,0.458248009490511,0.12490735915474452,0.7717831102773722,80,0.0
3,Germany,47.3,83456045.0,18.23983064403455,43110,4.672656674385501,61.0,14.698604760322313,4.610830615892562,11.842138876904958,100,1.0
2,Denmark,43.4,5961249.0,15.600790580844505,58160,4.276003237179106,66.0,,,,93,1.0
22,Estonia,45.5,1374687.0,14.133736626806083,21060,4.393211979628259,59.0,0.3750316193093581,0.1606866853395205,0.36342961129775714,84,0.0
4,Greece,48.4,10375764.0,16.15498325992407,19020,4.617216136828912,56.0,1.4375984580268408,0.35503762148603557,2.142734789063112,93,1.0
5,Spain,46.7,48619695.0,17.69953925369395,27800,5.116629746740149,58.0,11.847114948036877,3.2806448712906726,9.778113673275488,100,1.0
14,Finland,45.0,5603851.0,15.538964597934243,43110,5.216785810887814,61.0,1.5175110996801024,0.4648059257261676,1.336392806365963,85,1.0
6,France,44.0,68669303.0,18.04481283055263,38110,4.977027172335329,59.0,17.021128477526823,4.96740557012987,16.743309783850933,90,1.0
31,Croatia,47.6,3861967.0,15.166687197138646,17060,5.3782287823780655,54.0,1.1590091661164428,0.2663585363953935,1.2911686395047983,81,0.0
23,Hungary,46.4,9584627.0,16.075671018733367,16210,7.654455262991254,59.0,1.3707900862983948,0.5510872355712937,1.8602061278234183,61,0.0
7,Ireland,40.0,5351681.0,15.492921275127422,88600,4.139552676763583,72.0,0.917339577020823,0.2878439503073872,1.0884045951140309,85,1.0
8,Italy,50.1,58971230.0,17.892560255822584,32900,6.142507648597382,58.0,9.562801650904014,2.366674672226876,11.146709409979056,79,1.0
25,Lithuania,47.8,2885891.0,14.875344249064936,19690,5.707117724570923,57.0,0.8283022817084249,0.22880293353772896,0.9811927821919413,51,0.0
38,Luxembourg,40.3,672050.0,13.418088021499294,101000,,,,,,82,
24,Latvia,47.9,1878575.0,14.446024068671612,16910,6.066686840057373,54.0,0.5832880435846645,0.21830179426517574,0.5711011984009584,63,0.0
37,Malta,41.4,563443.0,13.241821453840727,34480,4.662333329479902,66.0,,,,100,0.0
10,Netherlands,43.5,17942942.0,16.70270739223124,50870,5.685376804487018,73.0,4.903379334141594,1.5494702123362833,3.71874060179941,90,1.0
26,Poland,44.7,36620970.0,17.416131585117615,16510,6.06634599207954,56.0,9.378191154576976,2.7524192614424408,14.81712568252427,62,0.0
12,Portugal,48.6,10639726.0,16.18010528966649,22370,5.628006775792782,58.0,3.7736376963000726,0.8653153621631464,3.998500621616897,93,1.0
27,Romania,45.8,19067576.0,16.763499858852366,13090,7.016120252504016,52.0,,,,58,0.0
16,Sweden,42.0,10551707.0,16.171798205745855,48310,5.689994242786865,65.0,3.9081056377398373,1.196803178097561,2.183500529406504,80,1.0
29,Slovenia,46.8,2123949.0,14.568787649756256,25480,5.1018446365194,59.0,0.712882964415064,0.21226867786858974,0.7951722597676282,84,0.0
28,Slovakia,44.1,5424687.0,15.506470759873793,19110,6.2109132634277335,55.0,1.532429370724688,0.43054478102011096,2.2263020627933425,69,0.0
